[U1, U2, U3] 
[ -2.00908344e-05  -9.95897888e+02   8.20265484e+00]
[  1.99538299e-05  -9.95897888e+02  -8.20260525e+00]
[ -2.05823198e-05  -1.04990479e+03   8.41489697e+00]
[  2.04604275e-05  -1.04990479e+03  -8.41484547e+00]
[ -2.11224360e-05  -1.10528845e+03   8.62628937e+00]
[  2.10212256e-05  -1.10528845e+03  -8.62623692e+00]
[ -2.16143108e-05  -1.16204333e+03   8.83679867e+00]
[  2.15297496e-05  -1.16204333e+03  -8.83674431e+00]
[ -2.21605369e-05  -1.22016357e+03   9.04638577e+00]
[  2.20972197e-05  -1.22016357e+03  -9.04633045e+00]
[ -2.26492903e-05  -1.27964294e+03   9.25501442e+00]
[  2.26041393e-05  -1.27964294e+03  -9.25495720e+00]
[ -2.31978447e-05  -1.34047510e+03   9.46264458e+00]
[  2.31746471e-05  -1.34047510e+03  -9.46258640e+00]
[ -2.36784672e-05  -1.40265356e+03   9.66923618e+00]
[  2.36749274e-05  -1.40265356e+03  -9.66917610e+00]
[ -2.42248661e-05  -1.46617126e+03   9.87474728e+00]
[  2.42441220e-05  -1.46617126e+03  -9.87468529e+00]
[ -2.46907857e-05  -1.53102112e+03   1.00791340e+01]
[  2.47312091e-05  -1.53102112e+03  -1.00790710e+01]
[ -2.52287955e-05  -1.59719580e+03   1.02823515e+01]
[  2.52929731e-05  -1.59719580e+03  -1.02822866e+01]
[ -2.56720723e-05  -1.66468738e+03   1.04843540e+01]
[  2.57589545e-05  -1.66468738e+03  -1.04842873e+01]
[ -2.61940459e-05  -1.73348792e+03   1.06850920e+01]
[  2.63057609e-05  -1.73348792e+03  -1.06850243e+01]
[ -2.66044535e-05  -1.80358887e+03   1.08845177e+01]
[  2.67404448e-05  -1.80358887e+03  -1.08844481e+01]
[ -2.71006393e-05  -1.87498169e+03   1.10825777e+01]
[  2.72626585e-05  -1.87498169e+03  -1.10825071e+01]
[ -2.74666363e-05  -1.94765735e+03   1.12792196e+01]
[  2.76545798e-05  -1.94765735e+03  -1.12791471e+01]
[ -2.79254582e-05  -2.02160632e+03   1.14743881e+01]
[  2.81407229e-05  -2.02160632e+03  -1.14743137e+01]
[ -2.82323726e-05  -2.09681885e+03   1.16680260e+01]
[  2.84752768e-05  -2.09681885e+03  -1.16679506e+01]
[ -2.86392606e-05  -2.17328491e+03   1.18600740e+01]
[  2.89108993e-05  -2.17328491e+03  -1.18599968e+01]
[ -2.88692736e-05  -2.25099390e+03   1.20504704e+01]
[  2.91703727e-05  -2.25099390e+03  -1.20503922e+01]
